timestamp,position lat,position long,heart rate,distance,temperature,vertical speed,enhanced speed,enhanced altitude
2024-08-06T14:14:59.000Z,,,,0.00,,,,
2024-08-06T14:15:00.000Z,,,86,,,,,
2024-08-06T14:15:01.000Z,45.207331,5.658578,89,,,,,
2024-08-06T14:15:02.000Z,,,91,,,,,
2024-08-06T14:15:03.000Z,,,93,,,,,
2024-08-06T14:15:04.000Z,,,94,,,,,
2024-08-06T14:15:05.000Z,45.207338,5.658537,96,,,,,
2024-08-06T14:15:06.000Z,45.207350,5.658505,98,,,,,
2024-08-06T14:15:07.000Z,45.207376,5.658474,99,,,,,
2024-08-06T14:15:08.000Z,45.207402,5.658442,100,11.00,33,0.000,3.140,213.6
2024-08-06T14:15:09.000Z,45.207427,5.658412,101,14.00,33,0.000,3.140,213.6
2024-08-06T14:15:10.000Z,45.207459,5.658380,102,18.00,33,0.000,3.180,213.6
2024-08-06T14:15:11.000Z,45.207494,5.658360,102,22.00,33,0.000,3.180,214.0
2024-08-06T14:15:12.000Z,45.207523,5.658340,102,27.00,33,0.000,2.820,214.0
2024-08-06T14:15:13.000Z,45.207558,5.658318,102,30.00,33,0.000,2.820,213.8
2024-08-06T14:15:14.000Z,45.207594,5.658288,103,34.00,33,0.000,3.900,213.8
2024-08-06T14:15:15.000Z,45.207626,5.658266,104,39.00,33,0.000,3.900,214.0
2024-08-06T14:15:16.000Z,45.207661,5.658243,104,43.00,33,0.000,4.160,214.2
2024-08-06T14:15:17.000Z,45.207699,5.658218,105,47.00,33,0.000,4.160,214.4
2024-08-06T14:15:18.000Z,45.207734,5.658188,105,52.00,33,0.000,3.860,214.8
2024-08-06T14:15:19.000Z,45.207773,5.658160,104,57.00,33,0.020,3.860,214.8
2024-08-06T14:15:20.000Z,45.207805,5.658128,103,61.00,33,0.020,4.160,214.8
2024-08-06T14:15:21.000Z,45.207843,5.658097,103,66.00,33,0.020,4.160,214.6
2024-08-06T14:15:22.000Z,45.207882,5.658078,102,71.00,33,0.020,4.380,214.6
2024-08-06T14:15:23.000Z,45.207926,5.658068,102,75.00,33,0.020,4.380,214.2
2024-08-06T14:15:24.000Z,45.207974,5.658072,102,80.00,33,0.020,4.520,214.0
2024-08-06T14:15:25.000Z,45.208016,5.658082,103,86.00,33,0.020,4.520,214.0
2024-08-06T14:15:26.000Z,45.208058,5.658090,103,90.00,33,0.020,4.680,214.0
2024-08-06T14:15:27.000Z,45.208102,5.658094,102,95.00,33,0.020,4.680,214.0
2024-08-06T14:15:28.000Z,45.208150,5.658095,102,100.00,33,0.020,4.780,214.0
2024-08-06T14:15:29.000Z,45.208192,5.658098,102,105.00,33,0.020,4.780,214.0
2024-08-06T14:15:30.000Z,45.208237,5.658105,101,110.00,33,0.020,4.840,214.6
2024-08-06T14:15:31.000Z,45.208282,5.658118,102,115.00,33,0.020,4.840,214.6
2024-08-06T14:15:32.000Z,45.208320,5.658147,103,120.00,33,0.020,4.880,214.6
2024-08-06T14:15:33.000Z,45.208352,5.658194,105,125.00,33,0.020,4.880,214.6
2024-08-06T14:15:34.000Z,45.208365,5.658248,106,130.00,33,0.020,4.880,214.6
2024-08-06T14:15:35.000Z,45.208365,5.658318,106,134.00,33,0.020,4.880,214.2
2024-08-06T14:15:36.000Z,45.208362,5.658388,107,140.00,33,0.020,4.880,214.2
2024-08-06T14:15:37.000Z,45.208352,5.658464,107,145.00,33,0.020,4.880,214.4
2024-08-06T14:15:38.000Z,45.208339,5.658544,106,151.00,33,0.020,5.560,214.4
2024-08-06T14:15:39.000Z,45.208330,5.658625,106,158.00,33,0.020,5.920,214.4
2024-08-06T14:15:40.000Z,45.208317,5.658713,106,164.00,33,0.020,6.220,214.2
2024-08-06T14:15:41.000Z,45.208304,5.658805,105,171.00,33,0.020,6.540,214.2
2024-08-06T14:15:42.000Z,45.208294,5.658896,104,179.00,33,0.020,6.840,214.2
2024-08-06T14:15:43.000Z,45.208278,5.658986,105,186.00,33,0.020,7.100,214.2
2024-08-06T14:15:44.000Z,45.208259,5.659077,105,193.00,33,0.000,7.100,214.2
2024-08-06T14:15:45.000Z,45.208237,5.659165,105,201.00,33,0.000,7.200,214.0
2024-08-06T14:15:46.000Z,45.208211,5.659250,106,208.00,33,0.000,7.200,214.0
2024-08-06T14:15:47.000Z,45.208186,5.659335,105,215.00,33,0.000,6.900,213.8
2024-08-06T14:15:48.000Z,45.208157,5.659417,105,222.00,33,0.000,7.000,213.8
2024-08-06T14:15:49.000Z,45.208131,5.659492,105,230.00,33,0.000,7.040,213.6
2024-08-06T14:15:50.000Z,45.208099,5.659572,104,236.00,33,0.000,7.040,213.6
2024-08-06T14:15:51.000Z,45.208077,5.659648,104,243.00,33,0.000,7.040,213.8
2024-08-06T14:15:52.000Z,45.208051,5.659728,104,250.00,33,0.000,7.100,213.8
2024-08-06T14:15:53.000Z,45.208038,5.659815,104,257.00,33,0.000,7.040,213.6
2024-08-06T14:15:54.000Z,45.208032,5.659905,104,264.00,33,0.000,7.040,213.2
2024-08-06T14:15:55.000Z,45.208038,5.659996,104,271.00,33,0.000,7.000,213.2
2024-08-06T14:15:56.000Z,45.208058,5.660087,104,278.00,33,0.000,7.000,213.4
2024-08-06T14:15:57.000Z,45.208080,5.660177,104,285.00,33,0.000,7.000,213.6
2024-08-06T14:15:58.000Z,45.208106,5.660264,103,293.00,33,0.000,7.000,213.4
2024-08-06T14:15:59.000Z,45.208141,5.660343,103,300.00,33,-0.020,7.000,213.4
2024-08-06T14:16:00.000Z,45.208176,5.660418,102,308.00,33,-0.020,7.000,213.6
2024-08-06T14:16:01.000Z,45.208218,5.660490,101,315.00,33,-0.020,7.000,213.6
2024-08-06T14:16:02.000Z,45.208256,5.660562,101,322.00,33,-0.020,7.000,213.6
2024-08-06T14:16:03.000Z,45.208301,5.660630,102,329.00,33,-0.040,7.000,213.6
