timestamp,heart rate,temperature,enhanced altitude
2024-08-02T14:59:26.000Z,71,,
2024-08-02T14:59:27.000Z,71,,
2024-08-02T14:59:28.000Z,71,,
2024-08-02T14:59:29.000Z,73,,
2024-08-02T14:59:30.000Z,73,,
2024-08-02T14:59:31.000Z,73,,
2024-08-02T14:59:32.000Z,73,,
2024-08-02T14:59:33.000Z,74,,
2024-08-02T14:59:34.000Z,74,31,221.6
2024-08-02T14:59:35.000Z,76,31,221.6
2024-08-02T14:59:36.000Z,77,32,221.6
2024-08-02T14:59:37.000Z,78,32,221.6
2024-08-02T14:59:38.000Z,79,32,221.6
2024-08-02T14:59:39.000Z,81,32,221.6
2024-08-02T14:59:40.000Z,81,31,221.6
2024-08-02T14:59:41.000Z,82,32,221.6
2024-08-02T14:59:42.000Z,82,32,221.6
2024-08-02T14:59:43.000Z,83,32,221.6
2024-08-02T14:59:44.000Z,81,32,221.6
2024-08-02T14:59:45.000Z,82,32,221.6
2024-08-02T14:59:46.000Z,82,32,221.6
2024-08-02T14:59:47.000Z,83,32,221.6
2024-08-02T14:59:48.000Z,83,32,221.6
2024-08-02T14:59:49.000Z,84,32,221.6
2024-08-02T14:59:50.000Z,84,32,221.6
2024-08-02T14:59:51.000Z,84,32,221.6
2024-08-02T14:59:52.000Z,84,32,221.6
2024-08-02T14:59:53.000Z,84,32,221.6
2024-08-02T14:59:54.000Z,85,32,221.6
2024-08-02T14:59:55.000Z,85,32,221.6
2024-08-02T14:59:56.000Z,84,32,221.6
2024-08-02T14:59:57.000Z,83,32,221.6
2024-08-02T14:59:58.000Z,83,32,221.6
2024-08-02T14:59:59.000Z,84,32,221.6
2024-08-02T15:00:00.000Z,84,32,221.6
2024-08-02T15:00:01.000Z,83,32,221.6
2024-08-02T15:00:02.000Z,83,32,221.6
2024-08-02T15:00:03.000Z,82,32,221.6
2024-08-02T15:00:04.000Z,82,32,221.6
2024-08-02T15:00:05.000Z,81,32,221.6
2024-08-02T15:00:06.000Z,83,32,221.6
2024-08-02T15:00:07.000Z,84,32,221.6
