timestamp,heart rate,temperature,vertical speed,enhanced altitude
2024-08-12T14:59:05.000Z,,31,0.000,221.6
2024-08-12T14:59:06.000Z,94,31,0.000,221.6
2024-08-12T14:59:07.000Z,,31,0.000,221.6
2024-08-12T14:59:08.000Z,94,31,0.000,221.6
2024-08-12T14:59:09.000Z,,31,0.000,221.6
2024-08-12T14:59:10.000Z,94,31,0.000,221.6
2024-08-12T14:59:11.000Z,,31,0.000,221.6
2024-08-12T14:59:12.000Z,93,31,0.000,221.6
2024-08-12T14:59:13.000Z,,31,0.000,221.6
2024-08-12T14:59:14.000Z,92,31,0.000,221.6
2024-08-12T14:59:15.000Z,,31,0.000,221.6
2024-08-12T14:59:16.000Z,91,31,0.000,221.6
2024-08-12T14:59:17.000Z,,31,0.000,221.6
2024-08-12T14:59:18.000Z,91,31,0.000,221.6
2024-08-12T14:59:19.000Z,,31,0.000,221.6
2024-08-12T14:59:20.000Z,88,31,0.000,221.6
2024-08-12T14:59:21.000Z,,31,0.000,221.6
2024-08-12T14:59:22.000Z,88,31,0.000,221.6
2024-08-12T14:59:23.000Z,,31,0.000,221.6
2024-08-12T14:59:24.000Z,86,31,0.000,221.6
2024-08-12T14:59:25.000Z,,31,0.000,221.6
2024-08-12T14:59:26.000Z,86,31,0.000,221.6
2024-08-12T14:59:27.000Z,,31,0.000,221.6
2024-08-12T14:59:28.000Z,88,31,0.000,221.6
2024-08-12T14:59:29.000Z,,31,0.000,221.6
2024-08-12T14:59:30.000Z,91,31,0.000,221.6
2024-08-12T14:59:31.000Z,,31,0.000,221.6
2024-08-12T14:59:32.000Z,91,31,0.000,221.6
2024-08-12T14:59:33.000Z,,31,0.000,221.6
2024-08-12T14:59:34.000Z,89,31,0.000,221.6
2024-08-12T14:59:35.000Z,,31,0.000,221.6
2024-08-12T14:59:36.000Z,90,31,0.000,221.6
2024-08-12T14:59:37.000Z,,31,0.000,221.6
2024-08-12T14:59:38.000Z,91,31,0.000,221.6
2024-08-12T14:59:39.000Z,,31,0.000,221.6
2024-08-12T14:59:40.000Z,93,31,0.000,221.6
2024-08-12T14:59:41.000Z,,31,0.000,221.6
2024-08-12T14:59:42.000Z,94,31,0.000,221.6
2024-08-12T14:59:43.000Z,,31,0.000,221.6
2024-08-12T14:59:44.000Z,96,31,0.000,221.6
2024-08-12T14:59:45.000Z,,31,0.000,221.6
2024-08-12T14:59:46.000Z,97,31,0.000,221.6
2024-08-12T14:59:47.000Z,,31,0.000,221.6
2024-08-12T14:59:48.000Z,97,31,0.000,221.6
2024-08-12T14:59:49.000Z,,31,0.000,221.6
2024-08-12T14:59:50.000Z,97,31,0.000,221.6
2024-08-12T14:59:51.000Z,,31,0.000,221.6
2024-08-12T14:59:52.000Z,96,31,0.000,221.6
2024-08-12T14:59:53.000Z,,31,0.000,221.6
