timestamp,position lat,position long,heart rate,distance,temperature,vertical speed,enhanced speed,enhanced altitude,ngp,grd pct
2024-08-10T03:04:29.000Z,,,,0.00,,,,,,
2024-08-10T03:04:30.000Z,,,58,,,,,,0.000000,0.000000
2024-08-10T03:04:31.000Z,45.024448,5.773102,59,,,,,,0.000000,0.000000
2024-08-10T03:04:32.000Z,,,59,,,,,,0.000000,0.000000
2024-08-10T03:04:33.000Z,,,61,,,,,,0.000000,0.000000
2024-08-10T03:04:34.000Z,,,63,,,,,,0.000000,0.000000
2024-08-10T03:04:35.000Z,45.024451,5.773110,63,,,,,,0.000000,0.000000
2024-08-10T03:04:36.000Z,,,67,,,,,,0.6100000,0.000000
2024-08-10T03:04:37.000Z,,,69,,,,,,0.6100000,0.000000
2024-08-10T03:04:38.000Z,45.024486,5.773130,72,2.00,26,0.000,1.240,909.2,1.230000,0.000000
2024-08-10T03:04:39.000Z,45.024512,5.773142,78,6.00,26,0.000,1.240,909.2,1.226864,-0.07727572
2024-08-10T03:04:40.000Z,45.024550,5.773150,81,9.00,26,0.000,2.520,909.2,2.513731,-0.07539814
2024-08-10T03:04:41.000Z,45.024592,5.773148,85,9.00,26,0.000,2.520,909.4,2.510625,-0.1130030
2024-08-10T03:04:42.000Z,45.024640,5.773138,86,18.00,26,0.000,3.540,909.4,3.527486,-0.1073465
2024-08-10T03:04:43.000Z,45.024685,5.773123,89,24.00,26,0.000,3.540,909.4,3.524389,-0.1341161
2024-08-10T03:04:44.000Z,45.024736,5.773106,89,29.00,26,0.000,4.260,909.4,4.241263,-0.1337606
2024-08-10T03:04:45.000Z,45.024778,5.773090,88,35.00,26,0.000,4.260,909.4,4.238169,-0.1560503
2024-08-10T03:04:46.000Z,45.024819,5.773068,87,39.00,26,0.000,4.680,909.0,4.655063,-0.1623148
2024-08-10T03:04:47.000Z,,,86,44.00,26,0.000,4.680,908.8,4.652027,-0.1822853
2024-08-10T03:04:48.000Z,45.024902,5.773040,84,54.00,26,0.000,4.980,908.4,4.958966,-0.1897471
2024-08-10T03:04:49.000Z,45.024928,5.773026,80,54.00,26,0.000,4.980,908.4,4.955945,-0.2084394
2024-08-10T03:04:50.000Z,,,78,57.00,26,0.000,3.660,908.2,3.613096,-0.3106453
2024-08-10T03:04:51.000Z,45.024982,5.773018,76,63.00,26,0.000,3.660,907.8,3.610110,-0.3362769
2024-08-10T03:04:52.000Z,45.025008,5.773015,75,63.00,26,0.000,3.080,907.8,3.037303,-0.4288548
2024-08-10T03:04:53.000Z,45.025043,5.773023,77,66.00,26,0.000,3.080,907.8,3.034360,-0.4592299
2024-08-10T03:04:54.000Z,45.025082,5.773032,77,70.00,26,0.000,2.880,907.6,2.831522,-0.5236378
2024-08-10T03:04:55.000Z,45.025117,5.773036,77,74.00,26,-0.020,2.880,907.6,2.811203,-0.7532746
2024-08-10T03:04:56.000Z,45.025155,5.773042,76,78.00,26,-0.020,3.600,907.4,3.510307,-0.7872505
2024-08-10T03:04:57.000Z,45.025203,5.773050,76,82.00,26,-0.020,3.600,907.4,3.490551,-0.9713285
2024-08-10T03:04:58.000Z,,,76,88.00,26,-0.040,3.440,907.4,3.311660,-1.209339
2024-08-10T03:04:59.000Z,45.025296,5.773053,75,98.00,26,-0.040,3.440,907.4,3.292973,-1.401979
2024-08-10T03:05:00.000Z,45.025338,5.773048,75,98.00,26,-0.040,3.440,907.0,3.274751,-1.594811
2024-08-10T03:05:01.000Z,45.025379,5.773038,75,103.00,26,-0.060,3.440,906.8,3.256977,-1.788030
