timestamp,heart rate,temperature,enhanced altitude
2024-08-08T14:26:39.000Z,78,,
2024-08-08T14:26:40.000Z,79,,
2024-08-08T14:26:41.000Z,79,,
2024-08-08T14:26:42.000Z,80,,
2024-08-08T14:26:43.000Z,80,,
2024-08-08T14:26:44.000Z,81,,
2024-08-08T14:26:45.000Z,81,,
2024-08-08T14:26:46.000Z,82,,
2024-08-08T14:26:47.000Z,85,32,227.6
2024-08-08T14:26:48.000Z,82,32,227.6
2024-08-08T14:26:49.000Z,82,32,227.6
2024-08-08T14:26:50.000Z,84,32,227.6
2024-08-08T14:26:51.000Z,83,32,227.6
2024-08-08T14:26:52.000Z,83,32,227.6
2024-08-08T14:26:53.000Z,83,32,227.6
2024-08-08T14:26:54.000Z,82,32,227.6
2024-08-08T14:26:55.000Z,82,32,227.6
2024-08-08T14:26:56.000Z,83,32,227.6
2024-08-08T14:26:57.000Z,83,32,227.6
2024-08-08T14:26:58.000Z,82,32,227.6
2024-08-08T14:26:59.000Z,83,32,227.6
2024-08-08T14:27:00.000Z,85,32,227.6
2024-08-08T14:27:01.000Z,84,32,227.6
2024-08-08T14:27:02.000Z,86,32,227.6
2024-08-08T14:27:03.000Z,85,32,227.6
2024-08-08T14:27:04.000Z,84,32,227.6
2024-08-08T14:27:05.000Z,84,32,227.6
2024-08-08T14:27:06.000Z,83,32,227.6
2024-08-08T14:27:07.000Z,84,32,227.6
2024-08-08T14:27:08.000Z,84,32,227.6
2024-08-08T14:27:09.000Z,85,32,227.6
2024-08-08T14:27:10.000Z,83,32,227.6
2024-08-08T14:27:11.000Z,83,32,227.6
2024-08-08T14:27:12.000Z,82,32,227.6
2024-08-08T14:27:13.000Z,82,32,227.6
2024-08-08T14:27:14.000Z,82,32,227.6
2024-08-08T14:27:15.000Z,81,32,227.6
2024-08-08T14:27:16.000Z,81,32,227.6
2024-08-08T14:27:17.000Z,81,32,227.6
2024-08-08T14:27:18.000Z,80,32,227.6
2024-08-08T14:27:19.000Z,81,32,227.6
2024-08-08T14:27:20.000Z,81,32,227.6
2024-08-08T14:27:21.000Z,82,32,227.6
2024-08-08T14:27:22.000Z,82,32,227.6
2024-08-08T14:27:23.000Z,82,32,227.6
2024-08-08T14:27:24.000Z,82,32,227.6
2024-08-08T14:27:25.000Z,83,32,227.6
2024-08-08T14:27:26.000Z,83,32,227.6
2024-08-08T14:27:27.000Z,84,32,227.6
2024-08-08T14:27:28.000Z,84,32,227.6
2024-08-08T14:27:29.000Z,84,32,227.6
2024-08-08T14:27:30.000Z,87,32,227.6
2024-08-08T14:27:31.000Z,87,32,227.6
2024-08-08T14:27:32.000Z,87,32,227.6
2024-08-08T14:27:33.000Z,87,32,227.6
2024-08-08T14:27:34.000Z,88,32,227.6
2024-08-08T14:27:35.000Z,89,32,227.6
2024-08-08T14:27:36.000Z,89,32,227.6
2024-08-08T14:27:37.000Z,89,32,227.6
2024-08-08T14:27:38.000Z,90,32,227.6
2024-08-08T14:27:39.000Z,89,32,227.6
2024-08-08T14:27:40.000Z,89,32,227.6
2024-08-08T14:27:41.000Z,88,32,227.6
2024-08-08T14:27:42.000Z,87,32,227.6
2024-08-08T14:27:43.000Z,86,32,227.6
2024-08-08T14:27:44.000Z,86,32,227.6
2024-08-08T14:27:45.000Z,86,32,227.6
2024-08-08T14:27:46.000Z,86,32,227.6
2024-08-08T14:27:47.000Z,86,32,227.6
2024-08-08T14:27:48.000Z,86,32,227.6
2024-08-08T14:27:49.000Z,85,32,227.6
2024-08-08T14:27:50.000Z,85,32,227.6
